gcf1,gcf2,count,jaccard_index,distance,weight
GCF_2a6c23208a,GCF_ebb33119a0,35,0.85365854,0.14634146000000003,0.85365854
GCF_88badf4f41,GCF_c48041c0f8,35,0.85365854,0.14634146000000003,0.85365854
GCF_e4b919b395,GCF_f4f9803f3b,35,0.85365854,0.14634146000000003,0.85365854
GCF_3aa4b81532,GCF_6e3277956b,29,0.85294118,0.14705882000000003,0.85294118
GCF_39798fe64d,GCF_e47a6f9c63,52,0.85245902,0.14754098000000004,0.85245902
GCF_2067e81dd3,GCF_f3c4a27b11,46,0.85185185,0.14814815000000003,0.85185185
GCF_293a3519cb,GCF_ed2e7f5f54,23,0.85185185,0.14814815000000003,0.85185185
GCF_51f748af43,GCF_b53a9f254f,23,0.85185185,0.14814815000000003,0.85185185
GCF_700f2e7eca,GCF_c6bc87b73f,23,0.85185185,0.14814815000000003,0.85185185
GCF_25f6515088,GCF_73013581d7,74,0.85057471,0.14942529000000004,0.85057471
GCF_0b9a7c7d26,GCF_363f1e9810,210,0.85020243,0.14979757000000005,0.85020243
GCF_380c878610,GCF_93175e4f70,34,0.85,0.15000000000000002,0.85
GCF_5e70c8b412,GCF_f776167cee,34,0.85,0.15000000000000002,0.85
GCF_27119445a7,GCF_924958cd26,45,0.8490566,0.15094339999999995,0.8490566
GCF_5337d7ab24,GCF_ec3686c288,45,0.8490566,0.15094339999999995,0.8490566
GCF_596653749a,GCF_692941b328,45,0.8490566,0.15094339999999995,0.8490566
GCF_8c1b2c8d09,GCF_924958cd26,45,0.8490566,0.15094339999999995,0.8490566
GCF_476ec3a0da,GCF_d96d631f3b,28,0.84848485,0.15151515000000004,0.84848485
GCF_4b9eff6fa6,GCF_84681210c2,28,0.84848485,0.15151515000000004,0.84848485
GCF_509bb8e83d,GCF_959401c494,28,0.84848485,0.15151515000000004,0.84848485
GCF_c62aeb0156,GCF_d96d631f3b,28,0.84848485,0.15151515000000004,0.84848485
GCF_d4399a7ce5,GCF_e9dc3f21e3,39,0.84782609,0.15217391000000002,0.84782609
GCF_61dae81720,GCF_9e29936307,83,0.84693878,0.15306122,0.84693878
GCF_010c87646d,GCF_f8e30ded4d,22,0.84615385,0.15384615000000001,0.84615385
GCF_0974ee6d14,GCF_27b81251ee,66,0.84615385,0.15384615000000001,0.84615385
GCF_2ce9692dd0,GCF_852e9d50c6,44,0.84615385,0.15384615000000001,0.84615385
